,#,Player,Age,Market value at time,Season,Nat.,Fee,Position,Left Club,Left League,Joined Club,Joined League,Loan,Fee (€)
2279,30,Konstantinos Manolas,28,€45.00m,19/20,Greece,€36.00m,Centre-Back,Roma,Serie A,Napoli,Serie A,False,36.0
2280,31,Benjamin Pavard,23,€30.00m,19/20,France,€35.00m,Centre-Back,Stuttgart,2. Bundesliga,Bayern Munich,Bundesliga,False,35.0
2281,32,Jasper Cillessen,30,€18.00m,19/20,Netherlands,€35.00m,Goalkeeper,Barcelona,LaLiga,Valencia,LaLiga,False,35.0
2282,33,Jules Koundé,20,€15.00m,19/20,"France, Benin",€35.00m,Right-Back,G. Bordeaux,Ligue 1,Sevilla FC,LaLiga,False,35.0
2283,34,Dani Olmo,21,€35.00m,19/20,Spain,€34.20m,Attacking Midfield,Dinamo Zagreb,SuperSport HNL,Leipzig,Bundesliga,False,34.2
2284,35,Ayoze Pérez,25,€20.00m,19/20,Spain,€33.40m,Centre-Forward,Newcastle,Premier League,Leicester,Premier League,False,33.4
2285,36,Abdou Diallo,23,€35.00m,19/20,"Senegal, France",€32.00m,Centre-Back,Dortmund,Bundesliga,PSG,Ligue 1,False,32.0
2286,37,Franck Kessié,22,€33.00m,19/20,"Cote d'Ivoire, Italy",€32.00m,Central Midfield,Atalanta,Serie A,AC Milan,Serie A,False,32.0
2287,38,Kerem Demirbay,26,€32.00m,19/20,"Germany, Türkiye",€32.00m,Central Midfield,Hoffenheim,Bundesliga,Leverkusen,Bundesliga,False,32.0
2288,39,Cristian Romero,21,€15.00m,19/20,Argentina,€31.50m,Centre-Back,Genoa,Serie A,Juventus,Serie A,False,31.5
2289,40,Bryan Cristante,24,€25.00m,19/20,"Italy, Canada",€30.60m,Defensive Midfield,Atalanta,Serie A,Roma,Serie A,False,30.6
2290,41,Mats Hummels,30,€35.00m,19/20,Germany,€30.50m,Centre-Back,Bayern Munich,Bundesliga,Dortmund,Bundesliga,False,30.5
2291,42,Alex Iwobi,23,€25.00m,19/20,"Nigeria, England",€30.40m,Left Winger,Arsenal,Premier League,Everton,Premier League,False,30.4
2292,43,Steven Bergwijn,22,€35.00m,19/20,"Netherlands, Suriname",€30.00m,Left Winger,PSV,Eredivisie,Tottenham,Premier League,False,30.0
2293,44,Ismaïla Sarr,21,€30.00m,19/20,Senegal,€30.00m,Right Winger,Stade Rennais,Ligue 1,Watford,Premier League,False,30.0
2294,45,Gelson Martins,24,€28.00m,19/20,"Portugal, Cape Verde",€30.00m,Right Winger,Atlético,LaLiga,Monaco,Ligue 1,False,30.0
2295,46,Idrissa Gueye,29,€25.00m,19/20,Senegal,€30.00m,Defensive Midfield,Everton,Premier League,PSG,Ligue 1,False,30.0
2296,47,Reinier,18,€25.00m,19/20,Brazil,€30.00m,Attacking Midfield,Flamengo,Série A,Real Madrid,LaLiga,False,30.0
2297,48,Marcos Llorente,24,€20.00m,19/20,Spain,€30.00m,Right-Back,Real Madrid,LaLiga,Atlético,LaLiga,False,30.0
2298,49,William Saliba,18,€12.00m,19/20,"France, Cameroon",€30.00m,Centre-Back,Saint-Étienne,Ligue 1,Arsenal,Premier League,False,30.0
2299,50,Leonardo Spinazzola,26,€15.00m,19/20,Italy,€29.50m,Left-Back,Juventus,Serie A,Roma,Serie A,False,29.5
2300,51,Borja Iglesias,26,€28.00m,19/20,Spain,€28.00m,Centre-Forward,Espanyol,LaLiga,Real Betis,LaLiga,False,28.0
2301,52,Pablo Fornals,23,€25.00m,19/20,Spain,€28.00m,Central Midfield,Villarreal,LaLiga,West Ham,Premier League,False,28.0
2302,53,Moise Kean,19,€40.00m,19/20,"Italy, Cote d'Ivoire",€27.50m,Centre-Forward,Juventus,Serie A,Everton,Premier League,False,27.5
2303,54,Christian Eriksen,27,€90.00m,19/20,Denmark,€27.00m,Attacking Midfield,Tottenham,Premier League,Inter,Serie A,False,27.0
2304,55,Ryan Sessegnon,19,€35.00m,19/20,England,€27.00m,Left-Back,Fulham,Championship,Tottenham,Premier League,False,27.0
2305,56,Kieran Tierney,22,€12.50m,19/20,"Scotland, Isle of Man",€27.00m,Left-Back,Celtic,Premiership,Arsenal,Premier League,False,27.0
2306,57,Alex Meret,22,€25.00m,19/20,Italy,€26.00m,Goalkeeper,Udinese,Serie A,Napoli,Serie A,False,26.0
2307,58,Neto,29,€18.00m,19/20,"Brazil, Italy",€26.00m,Goalkeeper,Valencia,LaLiga,Barcelona,LaLiga,False,26.0
2308,59,Thorgan Hazard,26,€38.00m,19/20,Belgium,€25.50m,Attacking Midfield,Mönchengladbach,Bundesliga,Dortmund,Bundesliga,False,25.5
2309,60,Nico Schulz,26,€25.00m,19/20,Germany,€25.50m,Left-Back,Hoffenheim,Bundesliga,Dortmund,Bundesliga,False,25.5
2310,61,Danny Ings,26,€15.00m,19/20,England,€25.10m,Centre-Forward,Liverpool,Premier League,Southampton,Premier League,False,25.1
2311,62,Julian Brandt,23,€50.00m,19/20,Germany,€25.00m,Attacking Midfield,Leverkusen,Bundesliga,Dortmund,Bundesliga,False,25.0
2312,63,Paco Alcácer,26,€42.00m,19/20,Spain,€25.00m,Centre-Forward,Dortmund,Bundesliga,Villarreal,LaLiga,False,25.0
2313,64,Marko Arnautovic,30,€35.00m,19/20,"Austria, Serbia",€25.00m,Centre-Forward,West Ham,Premier League,SH SIPG,Super League,False,25.0
2314,65,Jean-Philippe Gbamin,23,€28.00m,19/20,"Cote d'Ivoire, France",€25.00m,Centre-Back,Mainz,Bundesliga,Everton,Premier League,False,25.0
2315,66,André Gomes,25,€28.00m,19/20,Portugal,€25.00m,Central Midfield,Barcelona,LaLiga,Everton,Premier League,False,25.0
2316,67,Rony Lopes,23,€25.00m,19/20,"Portugal, Brazil",€25.00m,Right Winger,Monaco,Ligue 1,Sevilla FC,LaLiga,False,25.0
2317,68,Mario Hermoso,24,€25.00m,19/20,Spain,€25.00m,Centre-Back,Espanyol,LaLiga,Atlético,LaLiga,False,25.0
2318,69,Sander Berge,21,€22.00m,19/20,Norway,€25.00m,Defensive Midfield,Genk,JPL,Sheff Utd,Premier League,False,25.0
2319,70,Wesley Moraes,22,€20.00m,19/20,Brazil,€25.00m,Centre-Forward,Club Brugge,JPL,Aston Villa,Premier League,False,25.0
2320,71,Lucas Tousart,22,€20.00m,19/20,France,€25.00m,Central Midfield,Lyon,Ligue 1,Hertha BSC,Bundesliga,False,25.0
2321,72,Jeff Reine-Adélaïde,21,€11.00m,19/20,"France, Martinique",€25.00m,Attacking Midfield,Angers SCO,Ligue 1,Lyon,Ligue 1,False,25.0
2322,73,Krzysztof Piatek,24,€32.00m,19/20,Poland,€24.00m,Centre-Forward,AC Milan,Serie A,Hertha BSC,Bundesliga,False,24.0
2323,74,Joachim Andersen,23,€25.00m,19/20,Denmark,€24.00m,Centre-Back,Sampdoria,Serie A,Lyon,Ligue 1,False,24.0
2324,75,Stanislav Lobotka,25,€20.00m,19/20,Slovakia,€24.00m,Defensive Midfield,Celta de Vigo,LaLiga,Napoli,Serie A,False,24.0
2325,76,Pau López,24,€20.00m,19/20,Spain,€23.50m,Goalkeeper,Real Betis,LaLiga,Roma,Serie A,False,23.5
2326,77,Nikola Vlašić,21,€20.00m,19/20,Croatia,€23.00m,Attacking Midfield,Everton,Premier League,CSKA Moscow,Premier Liga,False,23.0
2327,78,Pedri,16,-,19/20,Spain,€23.00m,Central Midfield,UD Las Palmas,2ª División,Barcelona,LaLiga,False,23.0
2328,79,Theo Hernández,21,€15.00m,19/20,"France, Spain",€22.80m,Left-Back,Real Madrid,LaLiga,AC Milan,Serie A,False,22.8
2329,80,Luca Pellegrini,20,€5.00m,19/20,Italy,€22.80m,Left-Back,Roma,Serie A,Juventus,Serie A,False,22.8
2330,81,Raúl de Tomás,25,€15.00m,19/20,"Spain, Dominican Republic",€22.50m,Centre-Forward,Benfica,Liga NOS,Espanyol,LaLiga,False,22.5
2331,82,Valentino Lazaro,23,€17.00m,19/20,Austria,€22.40m,Right-Back,Hertha BSC,Bundesliga,Inter,Serie A,False,22.4
2332,83,Victor Osimhen,20,€13.00m,19/20,Nigeria,€22.40m,Centre-Forward,R Charleroi SC,JPL,Lille,Ligue 1,False,22.4
2333,84,Luka Jović,21,€60.00m,19/20,"Serbia, Bosnia-Herzegovina",€22.34m,Centre-Forward,Benfica,Liga NOS,Frankfurt,Bundesliga,False,22.34
2334,85,Tyrone Mings,26,€5.00m,19/20,England,€22.30m,Centre-Back,Bournemouth,Premier League,Aston Villa,Premier League,False,22.3
2335,86,Adam Webster,24,€9.00m,19/20,England,€22.22m,Centre-Back,Bristol City,Championship,Brighton,Premier League,False,22.22
2336,87,Giovani Lo Celso,23,€50.00m,19/20,"Argentina, Italy",€22.00m,Attacking Midfield,PSG,Ligue 1,Real Betis,LaLiga,False,22.0
2337,88,Kieran Trippier,28,€35.00m,19/20,England,€22.00m,Right-Back,Tottenham,Premier League,Atlético,LaLiga,False,22.0
2338,89,Thiago Mendes,27,€25.00m,19/20,Brazil,€22.00m,Defensive Midfield,Lille,Ligue 1,Lyon,Ligue 1,False,22.0
2339,90,Renan Lodi,21,€4.00m,19/20,"Brazil, Italy",€21.75m,Left-Back,Athletico-PR,Série A,Atlético,LaLiga,False,21.75
2340,91,Jarrod Bowen,23,€10.00m,19/20,England,€21.30m,Right Winger,Hull City,Championship,West Ham,Premier League,False,21.3
2341,92,Luis Muriel,28,€13.00m,19/20,Colombia,€21.20m,Centre-Forward,Sevilla FC,LaLiga,Atalanta,Serie A,False,21.2
2342,93,Matteo Politano,25,€30.00m,19/20,Italy,€21.10m,Right Winger,Sassuolo,Serie A,Inter,Serie A,False,21.1
2343,94,Paco Alcácer,25,€37.00m,19/20,Spain,€21.00m,Centre-Forward,Barcelona,LaLiga,Dortmund,Bundesliga,False,21.0
2344,95,Amadou Diawara,21,€15.00m,19/20,Guinea,€21.00m,Defensive Midfield,Napoli,Serie A,Roma,Serie A,False,21.0
2345,96,Raphinha,22,€8.00m,19/20,"Brazil, Italy",€21.00m,Left Winger,Sporting,Liga NOS,Stade Rennais,Ligue 1,False,21.0
2346,97,Kasper Dolberg,21,€18.00m,19/20,Denmark,€20.50m,Centre-Forward,Ajax,Eredivisie,Nice,Ligue 1,False,20.5
2347,98,Edmond Tapsoba,21,€4.50m,19/20,Burkina Faso,€20.20m,Centre-Back,Vit. Guimarães,Liga NOS,Leverkusen,Bundesliga,False,20.2
2348,99,Erling Haaland,19,€45.00m,19/20,Norway,€20.00m,Centre-Forward,Salzburg,Bundesliga,Dortmund,Bundesliga,False,20.0
2349,100,Junior Firpo,22,€25.00m,19/20,"Dominican Republic, Spain",€20.00m,Left-Back,Real Betis,LaLiga,Barcelona,LaLiga,False,20.0
2350,101,Julian Weigl,24,€23.00m,19/20,Germany,€20.00m,Defensive Midfield,Dortmund,Bundesliga,Benfica,Liga NOS,False,20.0
2351,102,Felipe,30,€20.00m,19/20,Brazil,€20.00m,Centre-Back,Porto,Liga NOS,Atlético,LaLiga,False,20.0
2352,103,Raúl de Tomás,24,€20.00m,19/20,"Spain, Dominican Republic",€20.00m,Centre-Forward,Real Madrid,LaLiga,Benfica,Liga NOS,False,20.0
2353,104,Bruno Guimarães,22,€20.00m,19/20,"Brazil, Spain",€20.00m,Central Midfield,Athletico-PR,Série A,Lyon,Ligue 1,False,20.0
2354,105,Renato Sanches,22,€18.00m,19/20,"Portugal, Sao Tome and Principe",€20.00m,Central Midfield,Bayern Munich,Bundesliga,Lille,Ligue 1,False,20.0
2355,106,Dodi Lukébakio,21,€18.00m,19/20,"Belgium, DR Congo",€20.00m,Right Winger,Watford,Premier League,Hertha BSC,Bundesliga,False,20.0
2356,107,Emil Audero,22,€15.00m,19/20,"Indonesia, Italy",€20.00m,Goalkeeper,Juventus,Serie A,Sampdoria,Serie A,False,20.0
2357,108,Maximilian Philipp,25,€13.00m,19/20,Germany,€20.00m,Second Striker,Dortmund,Bundesliga,Dinamo Moscow,Premier Liga,False,20.0
2358,109,Youssef En-Nesyri,22,€12.00m,19/20,Morocco,€20.00m,Centre-Forward,CD Leganés,LaLiga,Sevilla FC,LaLiga,False,20.0
2359,110,Nabil Fekir,26,€60.00m,19/20,"France, Algeria",€19.75m,Attacking Midfield,Lyon,Ligue 1,Real Betis,LaLiga,False,19.75
2360,111,Daniel Podence,24,€6.00m,19/20,Portugal,€19.60m,Left Winger,Olympiacos,Super League 1,Wolves,Premier League,False,19.6
2361,112,Merih Demiral,21,€15.00m,19/20,Türkiye,€19.50m,Centre-Back,Sassuolo,Serie A,Juventus,Serie A,False,19.5
2362,113,Christopher Nkunku,21,€12.00m,19/20,"France, DR Congo",€19.50m,Centre-Forward,PSG,Ligue 1,Leipzig,Bundesliga,False,19.5
2363,114,Sofyan Amrabat,23,€10.00m,19/20,"Morocco, Netherlands",€19.50m,Defensive Midfield,Hellas Verona,Serie A,Fiorentina,Serie A,False,19.5
2364,115,Dennis Praet,25,€24.00m,19/20,Belgium,€19.20m,Central Midfield,Sampdoria,Serie A,Leicester,Premier League,False,19.2
2365,116,Oli McBurnie,23,€8.00m,19/20,"Scotland, England",€19.10m,Centre-Forward,Swansea,Championship,Sheff Utd,Premier League,False,19.1
2366,117,Yusuf Yazıcı,22,€13.00m,19/20,Türkiye,€18.50m,Attacking Midfield,Trabzonspor,Süper Lig,Lille,Ligue 1,False,18.5
2367,118,Salomón Rondón,29,€15.00m,19/20,Venezuela,€18.27m,Centre-Forward,West Brom,Championship,DL Pro,Super League,False,18.27
2368,119,Pablo Sarabia,27,€40.00m,19/20,Spain,€18.00m,Right Winger,Sevilla FC,LaLiga,PSG,Ligue 1,False,18.0
2369,120,Patrick Cutrone,21,€28.00m,19/20,Italy,€18.00m,Centre-Forward,AC Milan,Serie A,Wolves,Premier League,False,18.0
2370,121,Allan Saint-Maximin,22,€25.00m,19/20,"France, Guadeloupe",€18.00m,Left Winger,Nice,Ligue 1,Newcastle,Premier League,False,18.0
2371,122,Ademola Lookman,21,€20.00m,19/20,"Nigeria, England",€18.00m,Second Striker,Everton,Premier League,Leipzig,Bundesliga,False,18.0
2372,123,Guillermo Maripán,25,€15.00m,19/20,Chile,€18.00m,Centre-Back,Alavés,LaLiga,Monaco,Ligue 1,False,18.0
2373,124,Aurélien Tchouaméni,20,€14.00m,19/20,"France, Cameroon",€18.00m,Defensive Midfield,G. Bordeaux,Ligue 1,Monaco,Ligue 1,False,18.0
2374,125,Matheus Cunha,20,€13.00m,19/20,Brazil,€18.00m,Second Striker,Leipzig,Bundesliga,Hertha BSC,Bundesliga,False,18.0
2375,126,Martin Braithwaite,28,€10.00m,19/20,"Denmark, Guyana",€18.00m,Centre-Forward,CD Leganés,LaLiga,Barcelona,LaLiga,False,18.0
2376,127,Guus Til,21,€6.00m,19/20,Netherlands,€18.00m,Attacking Midfield,AZ Alkmaar,Eredivisie,Spartak Moscow,Premier Liga,False,18.0
2377,128,Pedro Neto,19,€2.50m,19/20,Portugal,€17.90m,Right Winger,Lazio,Serie A,Wolves,Premier League,False,17.9
2378,129,Daniel James,21,€12.00m,19/20,"Wales, England",€17.80m,Right Winger,Swansea,Championship,Man Utd,Premier League,False,17.8
2379,130,Eljif Elmas,19,€10.00m,19/20,North Macedonia,€17.70m,Attacking Midfield,Fenerbahçe,Süper Lig,Napoli,Serie A,False,17.7
2380,131,Gabriel Barbosa,23,€23.00m,19/20,Brazil,€17.50m,Centre-Forward,Inter,Serie A,Flamengo,Série A,False,17.5
2381,132,Ismaël Bennacer,21,€12.00m,19/20,"Algeria, France",€17.20m,Defensive Midfield,FC Empoli,Serie B,AC Milan,Serie A,False,17.2
2382,133,Exequiel Palacios,21,€25.00m,19/20,Argentina,€17.00m,Central Midfield,River Plate,Superliga,Leverkusen,Bundesliga,False,17.0
2383,134,Munas Dabbur,27,€15.00m,19/20,Israel,€17.00m,Centre-Forward,Salzburg,Bundesliga,Sevilla FC,LaLiga,False,17.0
2384,135,Carlos Vinícius,24,€7.00m,19/20,Brazil,€17.00m,Centre-Forward,Napoli,Serie A,Benfica,Liga NOS,False,17.0
2385,136,Douglas Luiz,21,€2.50m,19/20,Brazil,€16.80m,Central Midfield,Man City,Premier League,Aston Villa,Premier League,False,16.8
2386,137,Ché Adams,22,€7.00m,19/20,"Scotland, England",€16.70m,Centre-Forward,Birmingham,Championship,Southampton,Premier League,False,16.7
2387,138,Andrea Petagna,24,€18.00m,19/20,Italy,€16.60m,Centre-Forward,SPAL,Serie A,Napoli,Serie A,False,16.6
2388,139,Stefano Sturaro,26,€10.00m,19/20,Italy,€16.50m,Central Midfield,Juventus,Serie A,Genoa,Serie A,False,16.5
2389,140,Philip Billing,23,€7.00m,19/20,"Denmark, Nigeria",€16.50m,Central Midfield,Huddersfield,Championship,Bournemouth,Premier League,False,16.5
2390,141,Arnaut Danjuma,22,€12.00m,19/20,"Netherlands, Nigeria",€16.46m,Left Winger,Club Brugge,JPL,Bournemouth,Premier League,False,16.46
2391,142,Nahitan Nández,23,€18.00m,19/20,"Uruguay, Italy",€16.20m,Central Midfield,Boca Juniors,Superliga,Cagliari,Serie A,False,16.2
2392,143,Giovani Lo Celso,23,€50.00m,19/20,"Argentina, Italy","Loan fee:
€16.00m",Attacking Midfield,Real Betis,LaLiga,Tottenham,Premier League,True,16.0
2393,144,Stephan El Shaarawy,26,€30.00m,19/20,"Italy, Egypt",€16.00m,Left Winger,Roma,Serie A,SH Shenhua,Super League,False,16.0
2394,145,Quincy Promes,27,€18.00m,19/20,"Netherlands, Suriname",€15.70m,Left Winger,Sevilla FC,LaLiga,Ajax,Eredivisie,False,15.7
2395,146,Moussa Djenepo,21,€12.00m,19/20,Mali,€15.70m,Left Winger,Standard Liège,JPL,Southampton,Premier League,False,15.7
2396,147,Neal Maupay,22,€12.00m,19/20,"France, Argentina",€15.56m,Centre-Forward,Brentford,Championship,Brighton,Premier League,False,15.56
2397,148,Leandro Trossard,24,€16.00m,19/20,Belgium,€15.56m,Left Winger,Genk,JPL,Brighton,Premier League,False,15.56
2398,149,Matt Targett,23,€7.00m,19/20,"England, Scotland",€15.50m,Left-Back,Southampton,Premier League,Aston Villa,Premier League,False,15.5
2399,150,Amir Rrahmani,25,€6.00m,19/20,"Kosovo, Albania",€15.30m,Centre-Back,Hellas Verona,Serie A,Napoli,Serie A,False,15.3
2400,151,Manuel Lazzari,25,€18.00m,19/20,Italy,€15.00m,Right-Back,SPAL,Serie A,Lazio,Serie A,False,15.0
2401,152,Ozan Kabak,19,€15.00m,19/20,Türkiye,€15.00m,Centre-Back,Stuttgart,2. Bundesliga,FC Schalke 04,Bundesliga,False,15.0
2402,153,Lucas Ocampos,24,€15.00m,19/20,"Argentina, Spain",€15.00m,Left Winger,Marseille,Ligue 1,Sevilla FC,LaLiga,False,15.0
2403,154,Riccardo Orsolini,22,€15.00m,19/20,Italy,€15.00m,Right Winger,Juventus,Serie A,Bologna,Serie A,False,15.0
2404,155,Diego Carlos,26,€13.00m,19/20,"Brazil, Spain",€15.00m,Centre-Back,FC Nantes,Ligue 1,Sevilla FC,LaLiga,False,15.0
2405,156,M'Baye Niang,24,€12.00m,19/20,"Senegal, France",€15.00m,Centre-Forward,Torino,Serie A,Stade Rennais,Ligue 1,False,15.0
2406,157,Moussa Diaby,19,€12.00m,19/20,"France, Mali",€15.00m,Right Winger,PSG,Ligue 1,Leverkusen,Bundesliga,False,15.0
2407,158,Keylor Navas,32,€10.00m,19/20,"Costa Rica, Spain",€15.00m,Goalkeeper,Real Madrid,LaLiga,PSG,Ligue 1,False,15.0
2408,159,Alexander Isak,19,€8.00m,19/20,"Sweden, Eritrea",€15.00m,Centre-Forward,Dortmund,Bundesliga,Real Sociedad,LaLiga,False,15.0
2409,160,Edson Álvarez,21,€7.50m,19/20,Mexico,€15.00m,Defensive Midfield,América,Liga MX Apertura,Ajax,Eredivisie,False,15.0
2410,161,Youssouf Fofana,21,€6.00m,19/20,"France, Mali",€15.00m,Defensive Midfield,R. Strasbourg,Ligue 1,Monaco,Ligue 1,False,15.0
2411,162,Lloyd Kelly,20,€9.00m,19/20,"England, Jamaica",€14.80m,Centre-Back,Bristol City,Championship,Bournemouth,Premier League,False,14.8
2412,163,Maxi Gómez,22,€40.00m,19/20,Uruguay,€14.50m,Centre-Forward,Celta de Vigo,LaLiga,Valencia,LaLiga,False,14.5
2413,164,Jakub Jankto,23,€12.00m,19/20,Czech Republic,€14.50m,Left Midfield,Udinese,Serie A,Sampdoria,Serie A,False,14.5
2414,165,Darío Benedetto,29,€15.00m,19/20,"Argentina, Mexico",€14.00m,Centre-Forward,Boca Juniors,Superliga,Marseille,Ligue 1,False,14.0
2415,166,Joan Jordán,25,€12.00m,19/20,Spain,€14.00m,Central Midfield,SD Eibar,LaLiga,Sevilla FC,LaLiga,False,14.0
2416,167,Manuel Locatelli,21,€12.00m,19/20,Italy,€14.00m,Defensive Midfield,AC Milan,Serie A,Sassuolo,Serie A,False,14.0
2417,168,Douglas Santos,25,€10.00m,19/20,"Brazil, Russia",€14.00m,Left-Back,Hamburg,2. Bundesliga,Zenit S-Pb,Premier Liga,False,14.0
2418,169,Djibril Sow,22,€9.00m,19/20,"Switzerland, Senegal",€14.00m,Central Midfield,Young Boys,Super League,Frankfurt,Bundesliga,False,14.0
2419,170,Leander Dendoncker,24,€18.00m,19/20,Belgium,€13.80m,Defensive Midfield,RSC Anderlecht,JPL,Wolves,Premier League,False,13.8
2420,171,Ruslan Malinovskyi,26,€12.50m,19/20,Ukraine,€13.60m,Attacking Midfield,Genk,JPL,Atalanta,Serie A,False,13.6
2421,172,Benjamin Lecomte,28,€17.00m,19/20,France,€13.50m,Goalkeeper,Montpellier,Ligue 1,Monaco,Ligue 1,False,13.5
2422,173,Henry Onyekuru,22,€13.00m,19/20,Nigeria,€13.50m,Left Winger,Everton,Premier League,Monaco,Ligue 1,False,13.5
2423,174,Jeison Murillo,27,€8.00m,19/20,"Colombia, Spain",€13.30m,Centre-Back,Valencia,LaLiga,Sampdoria,Serie A,False,13.3
2424,175,Ezri Konsa,21,€3.50m,19/20,"England, DR Congo",€13.30m,Centre-Back,Brentford,Championship,Aston Villa,Premier League,False,13.3
2425,176,Valentin Rongier,24,€15.00m,19/20,France,€13.00m,Central Midfield,FC Nantes,Ligue 1,Marseille,Ligue 1,False,13.0
2426,177,Gerson,22,€13.00m,19/20,Brazil,€13.00m,Central Midfield,Roma,Serie A,Flamengo,Série A,False,13.0
2427,178,Alexis Claude-Maurice,21,€7.50m,19/20,"France, Guadeloupe",€13.00m,Attacking Midfield,FC Lorient,Ligue 2,Nice,Ligue 1,False,13.0
2428,179,Denis Suárez,25,€12.00m,19/20,Spain,€12.90m,Attacking Midfield,Barcelona,LaLiga,Celta de Vigo,LaLiga,False,12.9
2429,180,Diadié Samassékou,23,€20.00m,19/20,Mali,€12.50m,Defensive Midfield,Salzburg,Bundesliga,Hoffenheim,Bundesliga,False,12.5
2430,181,Răzvan Marin,23,€13.50m,19/20,Romania,€12.50m,Central Midfield,Standard Liège,JPL,Ajax,Eredivisie,False,12.5
2431,182,Stefan Lainer,26,€12.50m,19/20,Austria,€12.50m,Right-Back,Salzburg,Bundesliga,Mönchengladbach,Bundesliga,False,12.5
2432,183,Luuk de Jong,28,€12.00m,19/20,Netherlands,€12.50m,Centre-Forward,PSV,Eredivisie,Sevilla FC,LaLiga,False,12.5
2433,184,Stanley Nsoki,20,€8.50m,19/20,"France, DR Congo",€12.50m,Centre-Back,PSG,Ligue 1,Nice,Ligue 1,False,12.5
2434,185,Isaac Mbenza,23,€5.00m,19/20,"Belgium, DR Congo",€12.50m,Right Winger,Montpellier,Ligue 1,Huddersfield,Championship,False,12.5
2435,186,Erick Pulgar,25,€10.00m,19/20,Chile,€12.30m,Defensive Midfield,Bologna,Serie A,Fiorentina,Serie A,False,12.3
2436,187,Duván Zapata,28,€45.00m,19/20,Colombia,€12.00m,Centre-Forward,Sampdoria,Serie A,Atalanta,Serie A,False,12.0
2437,188,Nicolò Barella,22,€36.00m,19/20,Italy,"Loan fee:
€12.00m",Central Midfield,Cagliari,Serie A,Inter,Serie A,True,12.0
2438,189,Shoya Nakajima,24,€25.00m,19/20,Japan,€12.00m,Attacking Midfield,Al-Duhail SC,Stars League,Porto,Liga NOS,False,12.0
2439,190,Andrea Petagna,24,€20.00m,19/20,Italy,€12.00m,Centre-Forward,Atalanta,Serie A,SPAL,Serie A,False,12.0
2440,191,Grzegorz Krychowiak,29,€18.00m,19/20,Poland,€12.00m,Defensive Midfield,PSG,Ligue 1,Loko Moscow,Premier Liga,False,12.0
2441,192,Angeliño,22,€16.00m,19/20,Spain,€12.00m,Left-Back,PSV,Eredivisie,Man City,Premier League,False,12.0
2442,193,Xaver Schlager,21,€15.00m,19/20,Austria,€12.00m,Central Midfield,Salzburg,Bundesliga,Wolfsburg,Bundesliga,False,12.0
2443,194,Rémy Cabella,29,€14.00m,19/20,"France, Italy",€12.00m,Attacking Midfield,Saint-Étienne,Ligue 1,Krasnodar,Premier Liga,False,12.0
2444,195,Hannes Wolf,20,€12.00m,19/20,Austria,€12.00m,Right Winger,Salzburg,Bundesliga,Leipzig,Bundesliga,False,12.0
2445,196,Simone Zaza,28,€10.00m,19/20,Italy,€12.00m,Centre-Forward,Valencia,LaLiga,Torino,Serie A,False,12.0
2446,197,Munas Dabbur,27,€10.00m,19/20,Israel,€12.00m,Centre-Forward,Sevilla FC,LaLiga,Hoffenheim,Bundesliga,False,12.0
2447,198,Bruma,24,€10.00m,19/20,"Portugal, Guinea-Bissau",€12.00m,Left Winger,Leipzig,Bundesliga,PSV,Eredivisie,False,12.0
2448,199,Pedro Porro,19,€10.00m,19/20,Spain,€12.00m,Right-Back,Girona,2ª División,Man City,Premier League,False,12.0
2449,200,Timo Baumgartl,23,€9.00m,19/20,Germany,€12.00m,Centre-Back,Stuttgart,2. Bundesliga,PSV,Eredivisie,False,12.0
2450,201,Odion Ighalo,30,€6.50m,19/20,"Nigeria, Italy","Loan fee:
€12.00m",Centre-Forward,SH Shenhua,Super League,Man Utd,Premier League,True,12.0
2451,202,Marvelous Nakamba,25,€6.50m,19/20,Zimbabwe,€12.00m,Defensive Midfield,Club Brugge,JPL,Aston Villa,Premier League,False,12.0
2452,203,Andrea Favilli,22,€6.00m,19/20,Italy,€12.00m,Centre-Forward,Juventus,Serie A,Genoa,Serie A,False,12.0
2453,204,Tino Kadewere,24,€4.00m,19/20,Zimbabwe,€12.00m,Centre-Forward,Le Havre AC,Ligue 2,Lyon,Ligue 1,False,12.0
2454,205,Alex Král,21,€3.50m,19/20,Czech Republic,€12.00m,Central Midfield,Slavia Praha,Fortuna Liga,Spartak Moscow,Premier Liga,False,12.0
2455,206,Darwin Núñez,20,€750k,19/20,Uruguay,€12.00m,Centre-Forward,Peñarol,Liga AUF Clausura,UD Almería,2ª División,False,12.0
2456,207,Thierry Correia,20,€400k,19/20,"Portugal, Cape Verde",€12.00m,Right-Back,Sporting,Liga NOS,Valencia,LaLiga,False,12.0
2457,208,Ivan Cavaleiro,26,€10.00m,19/20,"Angola, Portugal",€11.80m,Left Winger,Wolves,Premier League,Fulham,Championship,False,11.8
2458,209,Zinho Vanheusden,19,€10.00m,19/20,Belgium,€11.74m,Centre-Back,Inter,Serie A,Standard Liège,JPL,False,11.74
2459,210,João Pedro,18,€20.00m,19/20,Brazil,€11.50m,Centre-Forward,Fluminense,Série A,Watford,Premier League,False,11.5
2460,211,Ionuț Radu,22,€15.00m,19/20,Romania,€11.50m,Goalkeeper,Genoa,Serie A,Inter,Serie A,False,11.5
2461,212,Albian Ajeti,22,€7.00m,19/20,Switzerland,€11.30m,Centre-Forward,Basel,Super League,West Ham,Premier League,False,11.3
