,#,Player,Age,Market value at time,Season,Nat.,Fee,Position,Left Club,Left League,Joined Club,Joined League,Loan,Fee (€)
87,88,Nikola Zigic,29,€8.00m,10/11,Serbia,€7.00m,Centre-Forward,Valencia,LaLiga,Birmingham,Premier League,False,7.0
88,89,Dieumerci Mbokani,24,€8.00m,10/11,DR Congo,€7.00m,Centre-Forward,Standard Liège,JPL,Monaco,Ligue 1,False,7.0
89,90,Mario Mandžukić,24,€7.50m,10/11,Croatia,€7.00m,Centre-Forward,Dinamo Zagreb,SuperSport HNL,Wolfsburg,Bundesliga,False,7.0
90,91,Elias,25,€7.00m,10/11,Brazil,€7.00m,Central Midfield,Corinthians,Série A,Atlético,LaLiga,False,7.0
91,92,Ryan Babel,24,€6.50m,10/11,"Netherlands, Suriname",€7.00m,Left Winger,Liverpool,Premier League,Hoffenheim,Bundesliga,False,7.0
92,93,Blerim Dzemaili,24,€5.00m,10/11,"Switzerland, Albania",€7.00m,Central Midfield,Torino,Serie B,Parma,Serie A,False,7.0
93,94,Marc Janko,27,€4.50m,10/11,Austria,€7.00m,Centre-Forward,Salzburg,Bundesliga,Twente FC,Eredivisie,False,7.0
94,95,Aleksandar Lukovic,27,€3.80m,10/11,Serbia,€7.00m,Centre-Back,Udinese,Serie A,Zenit S-Pb,Premier Liga,False,7.0
95,96,Luca Antonelli,23,€3.50m,10/11,Italy,€7.00m,Left-Back,Parma,Serie A,Genoa,Serie A,False,7.0
96,97,Oleksandr Gladkyi,22,€3.00m,10/11,Ukraine,€7.00m,Centre-Forward,Shakhtar D.,Premier Liga,Dnipro,Premier Liga,False,7.0
97,98,Ben Foster,27,€3.00m,10/11,England,€7.00m,Goalkeeper,Man Utd,Premier League,Birmingham,Premier League,False,7.0
98,99,Andrea Rispoli,21,€1.50m,10/11,Italy,€7.00m,Right-Back,Brescia,Serie A,Parma,Serie A,False,7.0
99,100,Joaquín Boghossian,23,€3.00m,10/11,"Uruguay, Armenia",€6.90m,Centre-Forward,CA Cerro,Liga AUF Clausura,Salzburg,Bundesliga,False,6.9
100,101,Sébastien Squillaci,30,€8.00m,10/11,"France, Italy",€6.50m,Centre-Back,Sevilla FC,LaLiga,Arsenal,Premier League,False,6.5
101,102,Issiar Dia,23,€6.50m,10/11,"Senegal, France",€6.50m,Right Winger,AS Nancy,Ligue 1,Fenerbahçe,Süper Lig,False,6.5
102,103,Tino Costa,25,€6.40m,10/11,"Argentina, France",€6.50m,Central Midfield,Montpellier,Ligue 1,Valencia,LaLiga,False,6.5
103,104,Víctor Montaño,26,€4.00m,10/11,"Colombia, France",€6.50m,Centre-Forward,Montpellier,Ligue 1,Stade Rennais,Ligue 1,False,6.5
104,105,Mattia Destro,19,€1.00m,10/11,Italy,€6.50m,Centre-Forward,Inter,Serie A,Genoa,Serie A,False,6.5
105,106,Felipe,25,€6.50m,10/11,"Brazil, Italy",€6.30m,Centre-Back,Udinese,Serie A,Fiorentina,Serie A,False,6.3
106,107,Taison,22,€1.20m,10/11,Brazil,€6.30m,Left Winger,Internacional,Série A,Metalist Kharkiv,Premier Liga,False,6.3
107,108,Jean Makoun,27,€7.50m,10/11,"Cameroon, France",€6.20m,Defensive Midfield,Lyon,Ligue 1,Aston Villa,Premier League,False,6.2
108,109,Marko Arnautovic,21,€6.50m,10/11,"Austria, Serbia",€6.20m,Centre-Forward,Twente FC,Eredivisie,Werder Bremen,Bundesliga,False,6.2
109,110,Zlatan Ibrahimović,28,€46.00m,10/11,"Sweden, Bosnia-Herzegovina","Loan fee:
€6.00m",Centre-Forward,Barcelona,LaLiga,AC Milan,Serie A,True,6.0
110,111,Albert Riera,28,€14.00m,10/11,"Spain, Russia",€6.00m,Left Midfield,Liverpool,Premier League,Olympiacos,Super League 1,False,6.0
111,112,Alex,29,€8.00m,10/11,"Brazil, Italy",€6.00m,Attacking Midfield,Spartak Moscow,Premier Liga,Corinthians,Série A,False,6.0
112,113,Jimmy Briand,24,€7.80m,10/11,"France, Martinique",€6.00m,Centre-Forward,Stade Rennais,Ligue 1,Lyon,Ligue 1,False,6.0
113,114,Mousa Dembélé,23,€7.50m,10/11,"Belgium, Mali",€6.00m,Central Midfield,AZ Alkmaar,Eredivisie,Fulham,Premier League,False,6.0
114,115,Hatem Ben Arfa,23,€7.00m,10/11,"France, Tunisia",€6.00m,Attacking Midfield,Marseille,Ligue 1,Newcastle,Premier League,False,6.0
115,116,Raffaele Palladino,26,€7.00m,10/11,Italy,€6.00m,Left Winger,Genoa,Serie A,Parma,Serie A,False,6.0
116,117,César Azpilicueta,20,€7.00m,10/11,Spain,€6.00m,Centre-Back,CA Osasuna,LaLiga,Marseille,Ligue 1,False,6.0
117,118,Abdoulay Konko,26,€6.00m,10/11,"France, Morocco",€6.00m,Right-Back,Sevilla FC,LaLiga,Genoa,Serie A,False,6.0
118,119,Sergio Canales,19,€6.00m,10/11,Spain,€6.00m,Attacking Midfield,Racing,LaLiga,Real Madrid,LaLiga,False,6.0
119,120,Walter,20,€5.00m,10/11,Brazil,€6.00m,Centre-Forward,Internacional,Série A,Porto,Liga ZON Sagres,False,6.0
120,121,Jorge Valdivia,26,€5.00m,10/11,"Chile, Venezuela",€6.00m,Attacking Midfield,Al-Ain,UAE Pro League,Palmeiras,Série A,False,6.0
121,122,Guilherme,22,€4.80m,10/11,Brazil,€6.00m,Attacking Midfield,Dynamo Kyiv,Premier Liga,Atlético-MG,Série A,False,6.0
122,123,Lacina Traoré,20,€4.00m,10/11,Cote d'Ivoire,€6.00m,Centre-Forward,CFR Cluj,Liga 1,Kuban Krasnodar,Premier Liga,False,6.0
123,124,Tomas Kalas,17,-,10/11,Czech Republic,€6.00m,Centre-Back,Sigma Olomouc,Gambrinus Liga,Chelsea,Premier League,False,6.0
124,125,Rodrigo,19,-,10/11,"Spain, Brazil",€6.00m,Centre-Forward,RM Castilla,2ª B - Grupo I,Benfica,Liga ZON Sagres,False,6.0
125,126,Henrikh Mkhitaryan,21,€4.00m,10/11,Armenia,€5.85m,Central Midfield,Metalurg D.,Premier Liga,Shakhtar D.,Premier Liga,False,5.85
126,127,Kevin-Prince Boateng,23,€6.00m,10/11,"Ghana, Germany",€5.70m,Attacking Midfield,Portsmouth,Championship,Genoa,Serie A,False,5.7
127,128,Gojko Kacar,23,€8.50m,10/11,Serbia,€5.50m,Defensive Midfield,Hertha BSC,2. Bundesliga,Hamburg,Bundesliga,False,5.5
128,129,Mehmet Topal,24,€7.50m,10/11,Türkiye,€5.50m,Defensive Midfield,Galatasaray,Süper Lig,Valencia,LaLiga,False,5.5
129,130,Tiberio Guarente,24,€5.50m,10/11,Italy,€5.50m,Central Midfield,Atalanta,Serie B,Sevilla FC,LaLiga,False,5.5
130,131,Miroslav Stoch,20,€4.50m,10/11,Slovakia,€5.50m,Left Winger,Chelsea,Premier League,Fenerbahçe,Süper Lig,False,5.5
131,132,Franco Jara,21,€2.20m,10/11,Argentina,€5.50m,Centre-Forward,Arsenal Sarandí,Clausura,Benfica,Liga ZON Sagres,False,5.5
132,133,Christian Poulsen,30,€5.50m,10/11,Denmark,€5.48m,Defensive Midfield,Juventus,Serie A,Liverpool,Premier League,False,5.48
133,134,Samuel Inkoom,21,€4.50m,10/11,Ghana,€5.30m,Right-Back,Basel,Super League,Dnipro,Premier Liga,False,5.3
134,135,Gylfi Sigurdsson,20,€5.00m,10/11,Iceland,€5.20m,Attacking Midfield,Reading,Championship,Hoffenheim,Bundesliga,False,5.2
135,136,Nicola Pozzi,24,€3.00m,10/11,Italy,€5.20m,Centre-Forward,FC Empoli,Serie B,Sampdoria,Serie A,False,5.2
136,137,Mauricio Pinilla,26,€2.50m,10/11,"Chile, Italy",€5.10m,Centre-Forward,Grosseto,Serie B,US Palermo,Serie A,False,5.1
137,138,Edinson Cavani,23,€11.00m,10/11,"Uruguay, Italy","Loan fee:
€5.00m",Centre-Forward,US Palermo,Serie A,Napoli,Serie A,True,5.0
